SGDID	GeneID	Alias	GO Term
YAL069W	YAL069W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL068W-A	YAL068W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL068C	PAU8	PAU8	GO:0003674,GO:0005575,GO:0030437,GO:0045944,SO:0000704
YAL067W-A	YAL067W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL067C	SEO1	SEO1	GO:0015124,GO:0016020,GO:0055085,GO:0055085,GO:0071944,SO:0000704
YAL066W	YAL066W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL065C	YAL065C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL064W-B	YAL064W-B	-	GO:0003674,GO:0005783,GO:0008150,SO:0000704
YAL064C-A	TDA8	TDA8,YAL065C-A	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL064W	YAL064W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL063C-A	YAL063C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL063C	FLO9	FLO9	GO:0000128,GO:0000128,GO:0005537,GO:0009277,GO:0031589,SO:0000704
YAL062W	GDH3	GDH3,FUN51	GO:0004354,GO:0004354,GO:0005634,GO:0005739,GO:0005739,GO:0006537,SO:0000704
YAL061W	BDH2	BDH2	GO:0005634,GO:0005737,GO:0008150,GO:0016616,GO:0016616,SO:0000704
YAL060W	BDH1	BDH1,BDH	GO:0000721,GO:0005737,GO:0005737,GO:0006066,GO:0034079,SO:0000704
YAL059C-A	YAL059C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL059W	ECM1	ECM1	GO:0000055,GO:0000055,GO:0003674,GO:0005634,GO:0005634,GO:0005730,GO:0030687,SO:0000704
YAL058W	CNE1	CNE1,FUN48,calnexin	GO:0005515,GO:0005783,GO:0006457,GO:0030176,GO:0030433,GO:0051082,GO:0051082,SO:0000704
YAL056C-A	YAL056C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL056W	GPB2	GPB2,KRH1	GO:0001403,GO:0001403,GO:0004862,GO:0004862,GO:0005737,GO:0005739,GO:0005886,GO:0007124,GO:0007124,GO:0010255,GO:0010255,GO:0030437,GO:0032794,GO:0045944,GO:0046580,SO:0000704
YAL055W	PEX22	PEX22,YAF5	GO:0005737,GO:0016562,GO:0031398,GO:0097027,GO:1902499,SO:0000704
YAL054C	ACS1	ACS1,FUN44	GO:0003987,GO:0005739,GO:0005739,GO:0005829,GO:0006085,GO:0016573,GO:0016880,GO:0019654,SO:0000704
YAL053W	FLC2	FLC2	GO:0005737,GO:0005783,GO:0006457,GO:0009272,GO:0015230,GO:0015883,GO:0030148,GO:0055074,GO:0055085,GO:0071476,SO:0000704
YAL051W	OAF1	OAF1,YAF1	GO:0000978,GO:0000978,GO:0001228,GO:0001228,GO:0001228,GO:0032000,GO:0043565,GO:0043565,GO:0045944,GO:0061429,GO:0061429,GO:0089716,GO:0089716,SO:0000704
YAL049C	AIM2	AIM2	GO:0003674,GO:0005737,GO:0008150,SO:0000704
YAL048C	GEM1	GEM1,GON1	GO:0000001,GO:0000001,GO:0003924,GO:0005509,GO:0005739,GO:0005741,GO:0005741,GO:0010821,GO:0015886,GO:0032865,GO:0032865,GO:0055091,GO:1990456,GO:1990456,SO:0000704
YAL047W-A	YAL047W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL047C	SPC72	SPC72,LDB4	GO:0005816,GO:0005824,GO:0005876,GO:0007020,GO:0030953,GO:0031122,GO:0031578,GO:0031578,GO:0044877,GO:0044877,GO:0051010,GO:0061499,GO:0099609,GO:0110121,GO:1905721,GO:1990734,SO:0000704
YAL046C	BOL3	BOL3,AIM1	GO:0003674,GO:0005759,GO:0106035,GO:0106035,GO:0106035,GO:0106035,SO:0000704
YAL045C	YAL045C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL044W-A	BOL1	BOL1	GO:0003674,GO:0005759,GO:0044572,GO:0044572,GO:0044572,GO:0106035,SO:0000704
YAL044C	GCV3	GCV3	GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005960,GO:0006546,GO:0006730,GO:0009249,GO:0031405,SO:0000704
YAL043C	PTA1	PTA1,FUN39	GO:0003723,GO:0005847,GO:0005847,GO:0005847,GO:0006378,GO:0006378,GO:0008033,GO:0030846,GO:0098789,SO:0000704
YAL042C-A	YAL042C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL042W	ERV46	ERV46,FUN9	GO:0003674,GO:0005783,GO:0006888,GO:0030134,GO:0030173,GO:0030176,SO:0000704
YAL041W	CDC24	CDC24,CLS4	GO:0000131,GO:0000282,GO:0000750,GO:0000750,GO:0005085,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0005934,GO:0005935,GO:0007096,GO:0031106,GO:0043332,GO:0043577,GO:0072697,GO:0120171,GO:0120171,SO:0000704
YAL040C	CLN3	CLN3,DAF1,FUN10,WHI1	GO:0000079,GO:0000079,GO:0000083,GO:0000083,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0007033,GO:0007089,GO:0007089,GO:0007089,GO:0007089,GO:0016538,GO:0016538,GO:0016538,GO:0042144,GO:0042144,SO:0000704
YAL039C	CYC3	CYC3,CCHL	GO:0004408,GO:0005739,GO:0005739,GO:0005758,GO:0018063,SO:0000704
YAL038W	CDC19	CDC19,PYK1	GO:0004743,GO:0004743,GO:0005737,GO:0005737,GO:0005886,GO:0006090,GO:0006096,SO:0000704
YAL037C-B	YAL037C-B	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL037C-A	YAL037C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL037W	YAL037W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL036C	RBG1	RBG1,FUN11	GO:0002181,GO:0005525,GO:0005737,GO:0005844,GO:0005844,GO:0010494,GO:1903833,SO:0000704
YAL035W	FUN12	FUN12,eIF5B,yIF2	GO:0000462,GO:0001732,GO:0001732,GO:0001732,GO:0001732,GO:0003743,GO:0003743,GO:0003924,GO:0003924,GO:0003924,GO:0003924,GO:0003924,GO:0005525,GO:0005525,GO:0005737,GO:0005739,GO:0005739,GO:0005829,GO:0006446,GO:0010494,GO:0022627,GO:0031369,GO:0033290,GO:0042255,GO:0042256,GO:0043022,GO:0043022,GO:0070181,SO:0000704
YAL034C-B	YAL034C-B	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL034W-A	MTW1	MTW1,DSN3,NSL2	GO:0000818,GO:0000922,GO:0003674,GO:0007059,GO:0034501,SO:0000704
YAL034C	FUN19	FUN19	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL033W	POP5	POP5,FUN53	GO:0000171,GO:0000171,GO:0000172,GO:0000172,GO:0000294,GO:0003723,GO:0004526,GO:0004526,GO:0005655,GO:0006364,GO:0008033,GO:0034965,SO:0000704
YAL032C	PRP45	PRP45,FUN20	GO:0000350,GO:0000350,GO:0000384,GO:0000386,GO:0005634,GO:0071006,GO:0071007,GO:0071014,SO:0000704
YAL031W-A	YAL031W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL031C	GIP4	GIP4,FUN21	GO:0005737,GO:0007059,GO:0008157,GO:0019888,GO:0043666,SO:0000704
YAL030W	SNC1	SNC1	GO:0005484,GO:0005768,GO:0005802,GO:0005886,GO:0005933,GO:0005935,GO:0006887,GO:0006893,GO:0006897,GO:0006906,GO:0030658,GO:0031201,GO:0071944,SO:0000704
YAL029C	MYO4	MYO4,FUN22,SHE1	GO:0000146,GO:0005739,GO:0005739,GO:0005933,GO:0005933,GO:0005934,GO:0007533,GO:0008298,GO:0008298,GO:0008298,GO:0008298,GO:0008298,GO:0031941,GO:0048309,GO:0048309,GO:0051015,SO:0000704
YAL028W	FRT2	FRT2,HPH2	GO:0003674,GO:0005783,GO:0031204,GO:0071469,GO:0071472,SO:0000704
YAL027W	SAW1	SAW1	GO:0000736,GO:0000736,GO:0005634,GO:0032079,GO:0070337,GO:0070338,SO:0000704
YAL026C-A	YAL026C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL026C	DRS2	DRS2,FUN38,SWA3	GO:0000749,GO:0005783,GO:0005802,GO:0005802,GO:0005802,GO:0006886,GO:0006892,GO:0006892,GO:0006897,GO:0006897,GO:0032456,GO:0045332,GO:0045332,GO:0090555,GO:0090555,GO:0140345,GO:0140346,GO:0140346,GO:0140346,GO:0140346,GO:1990530,SO:0000704
YAL025C	MAK16	MAK16	GO:0000463,GO:0000466,GO:0003674,GO:0005730,GO:0030687,GO:0042273,SO:0000704
YAL024C	LTE1	LTE1,MSI2	GO:0005085,GO:0005933,GO:0016192,GO:0031536,GO:0061510,SO:0000704
YAL023C	PMT2	PMT2,FUN25	GO:0004169,GO:0004169,GO:0004169,GO:0004169,GO:0004169,GO:0004169,GO:0005783,GO:0006493,GO:0032527,GO:0035269,GO:0035269,GO:0035269,GO:0035269,GO:0035269,GO:0035269,GO:0071712,GO:0071712,GO:0097582,GO:0097582,GO:0097582,GO:0097584,GO:1900101,GO:1900101,GO:1900101,SO:0000704
YAL022C	FUN26	FUN26	GO:0000329,GO:0000329,GO:0000329,GO:0005337,GO:0005337,GO:0015205,GO:0015851,GO:0015858,GO:0015858,GO:0034257,GO:0034258,GO:0055085,SO:0000704
YAL021C	CCR4	CCR4,FUN27,NUT21	GO:0000076,GO:0000175,GO:0000175,GO:0000175,GO:0000175,GO:0000288,GO:0000288,GO:0000289,GO:0000289,GO:0000289,GO:0000932,GO:0005737,GO:0006260,GO:0006357,GO:0006368,GO:0006368,GO:0007089,GO:0016593,GO:0030015,GO:0032968,GO:0048478,SO:0000704
YAL020C	ATS1	ATS1,FUN28,KTI13	GO:0002098,GO:0003674,GO:0005737,SO:0000704
YAL019W-A	YAL019W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YAL019W	FUN30	FUN30	GO:0000122,GO:0000183,GO:0000729,GO:0000729,GO:0000775,GO:0003677,GO:0003682,GO:0005634,GO:0005634,GO:0005739,GO:0005739,GO:0006338,GO:0006338,GO:0006338,GO:0016584,GO:0030466,GO:0031507,GO:0031509,GO:0031934,GO:0033120,GO:0042766,GO:0140658,GO:0140658,GO:0140658,SO:0000704
YAL018C	LDS1	LDS1	GO:0003674,GO:0005619,GO:0005628,GO:0005811,GO:0030476,SO:0000704
